year,country,inflow,outflow,latitude,longitude,net_migrants,GDP per Capita,CPI
1990,Afghanistan,50671,3581557,33.93911,67.709953,-3530886,Data Unavailable,Data Unavailable
1995,Afghanistan,55794,1580390,33.93911,67.709953,-1524596,Data Unavailable,Data Unavailable
2000,Afghanistan,60918,2441534,33.93911,67.709953,-2380616,Data Unavailable,Data Unavailable
2005,Afghanistan,67045,1646074,33.93911,67.709953,-1579029,247.66414,71.58214338
2010,Afghanistan,73174,2610188,33.93911,67.709953,-2537014,550.514974,100.0
2015,Afghanistan,364151,2499786,33.93911,67.709953,-2135635,590.0764738,132.88320919999998
2017,Afghanistan,99345,2494308,33.93911,67.709953,-2394963,550.0684587999999,145.61074140000002
1990,Albania,58703,133396,41.153332,20.168331,-74693,617.2304355,Data Unavailable
1995,Albania,63452,441271,41.153332,20.168331,-377819,750.6044492000001,40.755979100000005
2000,Albania,68202,753282,41.153332,20.168331,-685080,1126.68334,74.14128934
2005,Albania,57570,894505,41.153332,20.168331,-836935,2673.786584,86.67556753
2010,Albania,46939,1058328,41.153332,20.168331,-1011389,4094.360204,100.0
2015,Albania,46266,1069589,41.153332,20.168331,-1023323,3952.830781,111.404974
2017,Albania,46666,1079680,41.153332,20.168331,-1033014,4537.5790560000005,115.07518689999999
1990,Algeria,258623,904559,28.033886,1.6596259999999998,-645936,2394.42038,15.51936355
1995,Algeria,250204,963763,28.033886,1.6596259999999998,-713559,1444.908036,51.93108535
2000,Algeria,241786,1023754,28.033886,1.6596259999999998,-781968,1757.017797,70.438128
2005,Algeria,190843,1587317,28.033886,1.6596259999999998,-1396474,3100.122378,81.82607845
2010,Algeria,209723,1628704,28.033886,1.6596259999999998,-1418981,4463.394675,100.0
2015,Algeria,231471,1784029,28.033886,1.6596259999999998,-1552558,4162.852181,126.73664640000001
2017,Algeria,240308,1791159,28.033886,1.6596259999999998,-1550851,4055.247211,142.3842032
1990,American Samoa,20486,1082,-14.270972,-170.132217,19404,Data Unavailable,Data Unavailable
1995,American Samoa,22301,1626,-14.270972,-170.132217,20675,Data Unavailable,Data Unavailable
2000,American Samoa,24115,2157,-14.270972,-170.132217,21958,Data Unavailable,Data Unavailable
