,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
"Afghanistan, Islamic Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,,8.68,,26.42,,-6.81,,2.18,,11.80,,6.44,,7.39,,4.67,,-0.66,,4.38,,4.98,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,,2.23,,3.62,,3.44,,2.04,,1.93,,1.61,,1.91,,1.28,,1.99,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,,3.68,,4.86,,5.74,,3.91,,4.52,,8.89,,3.25,,2.92,,4.78,,6.40,,5.59,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,98.22,,43.54,,22.95,,13.31,,12.25,,12.48,,13.73,,14.47,,13.48,,10.28,,8.78,,7.28,,10.28,,32.38,,31.69,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72,,1.41,,0.15,,-0.25,,-0.97,,-0.52,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,2.41,,1.99,,2.03,,2.10,,1.79,,1.42,,5.33,,-0.55,,3.37,,3.46,,3.38,,1.06,,1.09,,0.97,,-0.49,,2.43,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,3.32,,3.66,,2.53,,3.40,,3.61,,5.39,,8.96,,-2.14,,2.08,,4.32,,0.63,,-2.37,,0.42,,0.48,,-0.89,,-0.48,
Australia,7.33,,3.18,,1.01,,1.75,,1.97,,4.63,,2.62,,0.22,,0.86,,1.48,,4.46,,4.41,,2.98,,2.73,,2.34,,2.69,,3.56,,2.33,,4.35,,1.77,,2.92,,3.30,,1.76,,2.45,,2.49,,1.51,,1.28,,1.95,
Austria,3.26,,3.34,,4.02,,3.63,,2.95,,2.24,,1.86,,1.31,,0.92,,0.57,,2.34,,2.65,,1.81,,1.36,,2.06,,2.30,,1.44,,2.17,,3.22,,0.51,,1.81,,3.29,,2.49,,2.00,,1.61,,0.90,,0.89,,2.08,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.20,,1.97,,0.72,,1.51,,1.87,,-0.35,,1.52,
"Bahrain, Kingdom of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40,,2.76,,3.30,,2.65,,1.84,,2.80,,1.39,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.40,,6.22,,7.53,,6.99,,6.19,,5.51,,5.70,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.43,,4.53,,1.81,,1.77,,-1.11,,1.28,,4.66,
Belgium,3.45,,3.22,,2.43,,2.75,,2.38,,1.47,,2.08,,1.63,,0.95,,1.12,,2.54,,2.47,,1.65,,1.59,,2.10,,2.78,,1.79,,1.82,,4.49,,-0.05,,2.19,,3.53,,2.84,,1.11,,0.34,,0.56,,1.97,,2.13,
