"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","6472.50202920407","7885.79654466735","9764.78997879329","11392.4558105764","12307.3117378314","13496.0033851411","14046.5039965619","14936.827039276","16241.0463247117","16439.3563609282","16586.0684357542","17927.7496352086","19078.3431907515","19356.2033894901","20620.7006259175","20669.0319688645","20436.8871286309","20833.7616116694","22569.9749851801","23300.0395575696","24045.7494206858","25835.6431424885","27086.0398473459","24630.9392680773","23512.6025956397","24984.2794468664","24709.6022647219","25018.3089518065","25528.4037804428","25796.3802506382","25251.6396777554","25655.1020217537","",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7773265083934","59.8781528089471","58.4928738323479","78.7827580362892","82.2084438594401","101.290471274167","137.899361896954","161.322000088481","129.506653844251","129.798541408375","157.187422389233","160.372835554154","136.117014381199","144.110318929266","174.94203831954","187.975604013726","199.026172729051","226.005343759305","249.287386261794","277.900741665078","274.880858701521","266.493041808705","","","","","","","","","","","","","","","","","","","","","184.494712122049","195.776630341551","216.708128851229","247.664139959638","269.229693018123","366.230443242864","370.382293977374","444.18440407545","550.514973976336","599.29762975711","648.511069587633","647.966460473683","625.3395388285","590.076473832575","549.582759921642","550.068458763852","",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","664.117560200257","600.408765541326","579.2520008971","582.420126498067","596.602467242029","711.99270010471","647.563353685906","720.598938487943","761.618457662551","862.509057657804","922.550169956192","844.691134306625","640.622297879065","430.381595278873","320.657792023357","388.166766342963","512.620965887672","506.884952193443","419.639845318854","385.768853472854","555.296941863334","526.168742996854","869.851485021864","978.538933887291","1248.40490589113","1890.84972681569","2585.13352204929","3108.26864317894","4068.97845646361","3117.89694392484","3585.90555256868","4615.86747457004","5102.48996931589","5258.40737644433","5412.6923476178","4170.73035829413","3509.60421142273","4100.28978571722","",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","639.48473584821","639.865909445734","693.873474633887","674.793383069492","652.774321396566","697.995596576519","617.230435515505","336.586994504629","200.852219772323","367.279225077581","586.416339644261","750.604449178826","1009.97727483821","717.380047745673","813.789396580449","1033.24253162418","1126.68334010717","1281.6598256178","1425.12421860142","1846.12012081207","2373.58129170055","2673.78658429559","2972.74292399799","3595.03805682893","4370.5399247769","4114.13489916342","4094.36020359235","4437.17779448652","4247.61434236292","4413.08288688408","4578.66793446159","3952.83078116586","4131.87234065272","4537.57905556422","",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.55684977329","3498.1736515232","4217.17358114253","5342.16856044208","6319.73903384837","7169.10100559556","7152.37513361051","7751.37021575891","9129.7061851808","11820.8493928325","12377.4116456877","10372.232834745","9610.26630831575","8022.65478128161","7728.90669456943","7774.39382903478","10361.8159820255","12616.167565929","14304.3569645785","15166.437850754","18878.5059692988","19532.5401504525","20547.7117897897","16516.4710272204","16234.8090102012","18461.0648581512","19017.1745902241","18353.0597218473","18894.5214963227","19261.7105038886","21936.5301014708","22228.8464928922","24741.4935704562","32776.4422698769","38503.4796144857","41282.0201219785","43748.7721588999","48582.8084550866","47785.6590856793","43339.3798746543","39736.3540626699","41098.7669417228","38391.0808669785","40619.7112977795","42294.9947269717","36038.2676044596","37231.8156714154","39146.5488360906","",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","221.318655298764","236.374135497768","259.038188121913","291.978289194224","338.772529052418","417.333076125596","770.622449867451","827.275247795747","996.621018665256","1113.38802151824","1182.88073264076","1549.92046839609","2041.46184173613","2032.45925233745","1847.24463423616","1682.70322333577","1655.72768698671","1590.22716311765","1473.51360570845","1526.05182629005","1458.75529444826","1487.73911290612","1988.5678577178","1908.97926637896","2006.79584442971","1977.46152737004","1970.86055871284","2054.38431750339","2217.41732502394","2301.16173011528","2173.42102425352","2317.03847316766","2590.22243818036","2495.93988414441","2463.39858708738","2722.37872638538","3119.16488744331","3747.31297717834","4338.38573835633","4939.53000018201","6116.58122899534","5159.34276314128","5918.31589094969","6856.03503335607","7465.13522965428","7510.72998639458","7456.59817269612","6429.17084026577","6183.07922159315","6235.42057813414","",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","26556.080029911","29698.1692220993","33245.8360986374","27897.3270935772","32798.4782338538","41825.995457574","44012.333067279","39193.7409726279","34159.0373526707","31709.2543340905","29189.1677892304","23056.1045271808","23312.9295261613","21907.5979773605","23612.7451969684","27256.2909428352","26168.2666231036","25993.558007767","25199.3495771446","25467.1922190635","26847.080053195","28615.5821410126","29199.524610859","26663.3087045186","28260.0050167828","33071.2686869422","31061.5293454235","31311.3593562152","33230.5231807291","36161.1706068291","39439.8019679284","42372.2216623658","42672.6132294857","45758.9055356627","33072.5751663719","35037.8926731322","40434.3663503001","42086.689953233","43315.1414921653","44443.0615141941","39122.0497054272","38517.8003858029","40698.8493360368","",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1148.57995706663","845.077184202247","1166.31739957616","1272.01049600796","1266.34498858151","1057.7556614712","1136.51783223167","1324.08293470701","1317.48775502669","1366.35472649443","1401.48779454318","2083.97221812887","2824.65091518844","2011.68904032488","1932.590782074","2112.50117336788","2129.31379311298","2501.48075287736","2738.28472318497","2756.39698132362","2907.75762701156","3530.13178314168","2643.36939813156","2909.51661013406","3595.08589823166","3546.71882015564","3969.32741166282","2375.33910272555","4318.77469950773","5715.50439657303","6798.02676272931","6940.35035806909","7449.48038977242","7373.42824568235","7683.57406483774","8172.66432306173","8248.76198864344","7736.36962254054","7669.27391554066","7170.69467365192","2579.19316821209","3330.43700583548","4251.57434819873","5076.8838291729","5878.76102735208","7193.61763973522","8953.35927526277","8161.30696648652","10276.2604977053","12726.9083594731","12969.7071238969","12976.6364245411","12245.2564487696","13698.2934384857","12654.3549989958","14398.3587709055","",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637.85574116163","590.122225741606","369.633368128684","357.204339871367","400.516091886143","456.375899754645","504.059514041494","523.283569096003","609.173025391007","597.433481734807","622.742747687983","694.430511932268","783.261609869997","930.166156701539","1191.96191990706","1643.75854298145","2158.00290895457","3138.80870341248","4010.02699722693","2993.83253109033","3218.38165488465","3526.97814267659","3684.80481032649","3843.5912130934","3994.71235479566","3617.93574555176","3605.74311684256","3936.79831965287","",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8751.76652874972","8914.52543261668","8639.30885529158","8508.40691498359","8456.94799658994","8980.53641434813","9871.99719445906","12058.26382343","10352.8227618312","10375.9942154736","11660.329531052","11589.8530023324","11598.7517362051","11901.9752597368","11744.8155542366","11394.4752969932","",
